"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL142447";"";"None";"466.56";"0";"1.87";"21";"N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCOCC2)c1";"Ki";"'='";"209.89";"nM";"6.68";"";"";"UO_0000065";"14.31";"0.28";"4.81";"5.32";"0";"CHEMBL821446";"Binding affinity towards trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132189";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"6.678"
"CHEMBL170911";"";"None";"430.91";"0";"4.28";"14";"Cc1cc(OCc2cccc(C(=N)N)c2)cc(OS(=O)(=O)c2ccccc2Cl)c1";"Ki";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"13.52";"0.27";"1.54";"5.68";"0";"CHEMBL817568";"Compound was evaluated for inhibition of Trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1133126";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"1.5"
"CHEMBL159418";"";"None";"545.59";"1";"1.47";"9";"N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1";"Ki";"'='";"91.0";"nM";"7.04";"";"";"UO_0000065";"12.91";"0.25";"5.57";"3.45";"0";"CHEMBL817587";"Inhibitory activity against trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1133078";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"91.0"
"CHEMBL380813";"";"None";"517.63";"2";"6.18";"12c";"COc1ccc(CCN(Cc2ccc3ccc(C(=N)N)cc3c2)C(=O)c2cccc3ccccc23)cc1OC";"Ki";"'='";"105.0";"nM";"6.98";"";"";"UO_0000065";"13.48";"0.24";"0.80";"7.87";"0";"CHEMBL830293";"Inhibition constant towards bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1144375";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"105.0"
"CHEMBL195032";"";"None";"458.57";"1";"5.56";"12f";"N=C(N)c1ccc2ccc(CN(CCc3ccccn3)C(=O)c3cccc4ccccc34)cc2c1";"Ki";"'='";"299.0";"nM";"6.52";"";"";"UO_0000065";"14.23";"0.25";"0.96";"7.85";"0";"CHEMBL830293";"Inhibition constant towards bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1144375";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"299.0"
"CHEMBL196182";"";"None";"462.58";"0";"4.63";"12h";"N=C(N)c1ccc2ccc(CN(CCC[n+]3cc[nH]c3)C(=O)c3cccc4ccccc34)cc2c1";"Ki";"'='";"752.0";"nM";"6.12";"";"";"UO_0000065";"13.24";"0.24";"1.49";"6.82";"0";"CHEMBL830293";"Inhibition constant towards bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1144375";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"752.0"
"CHEMBL325022";"";"None";"372.47";"0";"3.86";"19b";"N=C(N)c1cccc(/C=C2/CCCC/C(=C\c3cccc(C(=N)N)c3)C2=O)c1";"Ki";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"17.99";"0.33";"2.84";"5.73";"1";"CHEMBL815005";"In vitro inhibition of bovine trypsin(Trp).";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132552";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"200.0"
"CHEMBL70730";"";"None";"426.42";"0";"4.24";"4f";"Cc1c(F)c(Oc2cccc(C(=N)N)c2)nc(Oc2cccc(C(=O)N(C)C)c2)c1F";"Ki";"'='";"2700.0";"nM";"5.57";"";"";"UO_0000065";"13.06";"0.25";"1.33";"5.48";"1";"CHEMBL818251";"Inhibitory constant against bovine trypsin for general specificity against serine proteases";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1135740";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"2700.0"
"CHEMBL291261";"";"None";"733.76";"None";"None";"22";"CCC(C)(C)C(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OCc1ccccc1)C(c1ccccc1)c1ccccc1)B1O[C@@H]2CC3CC(C3(C)C)[C@]2(C)O1";"Ki";"'='";"0.56";"nM";"9.25";"";"";"UO_0000065";"12.61";"None";"None";"None";"0";"CHEMBL817620";"Binding affinity against Trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1128727";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";"";"0.56"
"CHEMBL1161253";"";"None";"508.60";"1";"2.48";"40";"N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC[C@@H]2C(=O)O)c1";"Ki";"'='";"630.96";"nM";"6.20";"";"";"UO_0000065";"12.19";"0.24";"3.72";"4.04";"0";"CHEMBL821446";"Binding affinity towards trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132189";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"6.2"
