Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,pKi
CHEMBL421428,,,582.63,0.0,-0.47,27,N=C(N)NCCCNC(=O)[C@@H]1CS[C@H]2CC[C@H](NS(=O)(=O)Cc3ccccc3)C(=O)N21.O=C(O)C(F)(F)F,Ki,'=',7900.0,nM,5.1,,,UO_0000065,10.89,0.22,5.57,3.24,0,CHEMBL815750,In vitro inhibition was measured against Human bovine pancreatic trypsin.,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131291,1,Scientific Literature,J Med Chem,1998,,,,,7.9,5.1
CHEMBL101343,,,249.32,0.0,2.97,20,N=C(N)c1ccc2c(ccn2Cc2ccccc2)c1,Ki,'=',15400.0,nM,4.81,,,UO_0000065,19.3,0.35,1.84,8.78,0,CHEMBL817581,Inhibition constant against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1122336,1,Scientific Literature,J Med Chem,1983,,,,,15.4,4.81
CHEMBL101027,,,372.48,0.0,3.64,24,N=C(N)c1ccc2c(ccn2CCCCn2ccc3cc(C(=N)N)ccc32)c1,Ki,'=',3200.0,nM,5.5,,,UO_0000065,14.75,0.27,1.85,5.01,0,CHEMBL817581,Inhibition constant against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1122336,1,Scientific Literature,J Med Chem,1983,,,,,3.2,5.5
CHEMBL540073,,,569.13,1.0,2.93,3g,Cl.N=C(N)N1CCC[C@H](CNC(=O)[C@@H](Cc2c[nH]c3ccccc23)NS(=O)(=O)c2ccc3ccccc3c2)C1,Ki,'=',130000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL878759,In vitro binding affinity by measuring the inhibition of bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1127404,1,Scientific Literature,J Med Chem,1994,,,,,130.0,3.886056647693163
CHEMBL48133,,,476.67,0.0,3.28,6,CCCc1ccc(S(=O)(=O)N[C@@H](Cc2ccc(C(=N)N)s2)C(=O)N(C)C2CCCC2)cc1,Ki,'=',150.0,nM,6.82,,,UO_0000065,14.32,0.29,3.54,5.86,0,CHEMBL817570,Compound was evaluated for its inhibitory activity against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1130864,1,Scientific Literature,Bioorg Med Chem Lett,1998,,,,,150.0,6.82
CHEMBL106079,,,554.8,2.0,5.49,table 5,CC1CCN(C(=O)C(Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2c(C(C)C)cc(C(C)C)cc2C(C)C)CC1,Ki,'=',690.0,nM,6.16,,,UO_0000065,11.11,0.22,0.67,5.3,0,CHEMBL819016,Inhibitory activity against bovine trypsin expressed as dissociation constant,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131451,1,Scientific Literature,J Med Chem,1998,,,,,0.69,6.16
CHEMBL101726,,,291.36,0.0,2.26,17,N=C(N)c1cccc(Cn2ccc3cc(C(=N)N)ccc32)c1,Ki,'=',8290.0,nM,5.08,,,UO_0000065,17.44,0.32,2.82,4.85,0,CHEMBL817581,Inhibition constant against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1122336,1,Scientific Literature,J Med Chem,1983,,,,,8.29,5.08
CHEMBL102002,,,410.44,1.0,3.47,2,N=C(N)c1ccc2[nH]c(Oc3ccc(-c4nc5cc(C(=N)N)ccc5[nH]4)cc3)nc2c1,Ki,'=',4670.0,nM,5.33,,,UO_0000065,12.99,0.23,1.86,3.2,0,CHEMBL817581,Inhibition constant against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1122336,1,Scientific Literature,J Med Chem,1983,,,,,4.67,5.33
CHEMBL415700,,,255.2,0.0,2.2,12,N=C(N)c1ccc2c(C(=O)C(F)(F)F)c[nH]c2c1,Ki,'>',1000000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL817581,Inhibition constant against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1122336,1,Scientific Literature,J Med Chem,1983,,,,,1000.0,3.0
CHEMBL23246,,,419.51,0.0,4.53,13a,O=S(=O)(Nc1cccc(OCCNc2ccncc2)c1)c1ccc2ccccc2c1,Ki,'>',500000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL818253,Tested for the Inhibition of the catalytic activity of bovine trypsin at 25 degree C and pH 7.5.,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1150979,1,Scientific Literature,Bioorg Med Chem Lett,1997,,,,,500.0,3.3010299956639813
CHEMBL100296,,,294.31,0.0,2.88,23,N=C(N)c1ccc(Cn2ccc3cc([N+](=O)[O-])ccc32)cc1,Ki,'=',3440.0,nM,5.46,,,UO_0000065,18.56,0.34,2.58,5.58,0,CHEMBL817581,Inhibition constant against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1122336,1,Scientific Literature,J Med Chem,1983,,,,,3.44,5.46
CHEMBL332322,,,596.59,1.0,3.55,29,CN1CCN=C1c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)c(F)c(OC3CCN(CC(=O)O)CC3)c2F)c1,Ki,'=',330.0,nM,6.48,,,UO_0000065,10.86,0.21,2.93,3.89,0,CHEMBL817592,Inhibitory potency was measured against bovine trypsin.,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131090,1,Scientific Literature,J Med Chem,1998,,,,,330.0,6.48
CHEMBL298415,,,347.38,0.0,3.23,3,N=C(N)c1ccc(Oc2cccc(Oc3ccc(C(=N)N)cc3)n2)cc1,Ki,'=',2800.0,nM,5.55,,,UO_0000065,15.98,0.29,2.32,4.24,0,CHEMBL817592,Inhibitory potency was measured against bovine trypsin.,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131090,1,Scientific Literature,J Med Chem,1998,,,,,2800.0,5.55
CHEMBL81852,,,355.34,0.0,4.54,4a,Cc1c(F)c(Oc2ccccc2)nc(Oc2cccc(C(=N)N)c2)c1F,Ki,'>',5000.0,nM,,,,UO_0000065,,,,,1,CHEMBL818251,Inhibitory constant against bovine trypsin for general specificity against serine proteases,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1135740,1,Scientific Literature,J Med Chem,2002,,,,,5000.0,5.301029995663981
CHEMBL359422,,,438.55,0.0,2.54,64,CC(C)NC(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1ccc2ccccc2c1,Ki,'=',15995.58,nM,4.8,,,UO_0000065,10.94,0.21,2.26,3.83,0,CHEMBL821446,Binding affinity towards trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1132189,1,Scientific Literature,J Med Chem,1999,,,,,4.796,4.8
CHEMBL356862,,,414.55,1.0,5.04,6b,N=C(N)c1ccc(/C=C2/CCCCCCC/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1,Ki,'=',2100.0,nM,5.68,,,UO_0000065,13.7,0.25,0.64,4.86,0,CHEMBL815005,In vitro inhibition of bovine trypsin(Trp).,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1132552,1,Scientific Literature,J Med Chem,1999,,,,,2100.0,5.68
CHEMBL145108,,,492.6,0.0,2.45,19,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(C=O)CC2)c1,Ki,'=',219.79,nM,6.66,,,UO_0000065,13.52,0.26,4.21,4.99,0,CHEMBL821446,Binding affinity towards trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1132189,1,Scientific Literature,J Med Chem,1999,,,,,6.658,6.66
CHEMBL319868,,,465.58,0.0,1.45,table 4,N=C(N)c1cccc(CC(NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCNCC2)c1,Ki,'=',220.0,nM,6.66,,,UO_0000065,14.3,0.28,5.21,5.19,0,CHEMBL819016,Inhibitory activity against bovine trypsin expressed as dissociation constant,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131451,1,Scientific Literature,J Med Chem,1998,,,,,0.22,6.66
CHEMBL541285,,,537.13,1.0,1.98,8,CN(C)c1cccc2c(S(=O)(=O)NC(CCCN3CCN=C3N)C(=O)N3CCCCC3)cccc12.Cl,Ki,'=',278000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL817621,Binding affinity determined against trypsin by Dixon method,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1133878,1,Scientific Literature,Bioorg Med Chem Lett,2001,,,,,278.0,3.555955204081924
CHEMBL317713,,,187.2,0.0,1.26,10,N=C(N)c1ccc2c(C=O)c[nH]c2c1,Ki,'=',25500.0,nM,4.59,,,UO_0000065,24.54,0.45,3.33,5.55,0,CHEMBL817581,Inhibition constant against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1122336,1,Scientific Literature,J Med Chem,1983,,,,,25.5,4.59
CHEMBL322444,,,840.04,2.0,5.07,4b,Cc1ccc(S(=O)(=O)N/C(N)=N\CCC[C@@H](NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)OCc2ccccc2)C(O)c2nc3ccccc3s2)cc1,Ki,'>',150000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL815751,Inhibition of bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1129256,1,Scientific Literature,J Med Chem,1996,,,,,150000.0,3.8239087409443187
