Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,pKi,source
CHEMBL267438,,,543.99,1.0,1.8,25 (+),NC(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,Ki,'>',1600.0,nM,,,,UO_0000065,,,,,0,CHEMBL878974,Inhibitory activity against trypsin using human purified enzyme,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1145764,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,1600.0,5.795880017344075,human
CHEMBL162657,,,416.48,0.0,2.77,21,COc1ccc(CNC(=O)[C@H](NC(=O)c2cccc(C(=N)N)c2)c2ccccc2)cc1,Ki,'=',5500.0,nM,5.26,,,UO_0000065,12.63,0.23,2.49,4.48,0,CHEMBL818185,Binding affinity against human trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134227,1,Scientific Literature,Bioorg Med Chem Lett,2001,,,,,5.5,5.26,human
CHEMBL164376,,,386.45,0.0,2.76,17,N=C(N)c1cccc(C(=O)N[C@@H](C(=O)NCc2ccccc2)c2ccccc2)c1,Ki,'=',5400.0,nM,5.27,,,UO_0000065,13.63,0.25,2.51,4.87,0,CHEMBL818185,Binding affinity against human trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134227,1,Scientific Literature,Bioorg Med Chem Lett,2001,,,,,5.4,5.27,human
CHEMBL117387,,,468.58,0.0,1.92,21,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccccc1CCN,Ki,'=',437000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL818017,Inhibitory constant evaluated against trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136286,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,437000.0,3.359518563029578,human
CHEMBL168176,,,416.49,0.0,2.35,10a,Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1c[nH]c2nccc-2c1,Ki,'>',100000.0,nM,,,,UO_0000065,,,,,0,CHEMBL817814,Inhibition of Trypsin,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136608,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,100000.0,4.0,human
CHEMBL45307,,,419.49,0.0,2.31,10a,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-n2ccnc2)cc1,Ki,'>',2900.0,nM,,,,UO_0000065,,,,,0,CHEMBL817811,In vitro inhibitory potency against Trypsin,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1135155,1,Scientific Literature,Bioorg Med Chem Lett,2002,,,,,2900.0,5.5376020021010435,human
CHEMBL43264,,,505.62,2.0,5.01,8,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](Cc1ccccc1)NC(=O)c1ccc(-c2ccccc2)cc1,Ki,'=',75.0,nM,7.12,,,UO_0000065,14.09,0.26,2.11,6.77,0,CHEMBL817805,In vitro inhibitory activity against human trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1135154,1,Scientific Literature,Bioorg Med Chem Lett,2002,,,,,75.0,7.12,human
CHEMBL45106,,,540.71,2.0,5.2,13,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](CC1CCCCC1)NC(=O)c1ccc(-c2cccc(CN)c2)cc1,Ki,'=',36.0,nM,7.44,,,UO_0000065,13.77,0.25,2.24,5.67,0,CHEMBL817805,In vitro inhibitory activity against human trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1135154,1,Scientific Literature,Bioorg Med Chem Lett,2002,,,,,36.0,7.44,human
CHEMBL1562872,,,208.09,0.0,0.55,4-Aminobenzamidine dihydrochloride,Cl.Cl.N=C(N)c1ccc(N)cc1,Ki,'=',8900.0,nM,5.05,,,UO_0000065,37.36,0.69,4.5,6.66,0,CHEMBL2051531,Inhibition of human recombinant trypsin 1 using tosyl-GPR-pNA substrate by spectrophotometry,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2046377,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,8.9,5.05,human
CHEMBL295010,,,430.51,0.0,3.18,5a,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2ccccn2)cc1,Ki,'=',51.0,nM,7.29,,,UO_0000065,16.94,0.31,4.11,6.17,0,CHEMBL817811,In vitro inhibitory potency against Trypsin,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1135155,1,Scientific Literature,Bioorg Med Chem Lett,2002,,,,,51.0,7.29,human
