ligand_name;best_affinity_kcal_mol;output_pdbqt;log_file;success;Smiles;original_index;error
ligand_58;-7.813;../data/docking/results\ligand_58_out.pdbqt;../data/docking/results\ligand_58_log.txt;True;CCC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)O;58;
ligand_59;-8.828;../data/docking/results\ligand_59_out.pdbqt;../data/docking/results\ligand_59_log.txt;True;CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@H]1CC=CC[C@H]1C(=O)O;59;
ligand_60;-9.225;../data/docking/results\ligand_60_out.pdbqt;../data/docking/results\ligand_60_log.txt;True;COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2ccc(C(N)=O)cc2)cc1;60;
ligand_61;-8.992;../data/docking/results\ligand_61_out.pdbqt;../data/docking/results\ligand_61_log.txt;True;COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cccc(C(N)=O)c2)cc1;61;
ligand_62;-7.915;../data/docking/results\ligand_62_out.pdbqt;../data/docking/results\ligand_62_log.txt;True;NCc1ccc(CNC(=O)CC(=O)NCc2ccc(CNC(=O)CC(=O)NCc3ccc(CN)cc3)cc2)cc1;62;
ligand_63;-6.455;../data/docking/results\ligand_63_out.pdbqt;../data/docking/results\ligand_63_log.txt;True;COc1ccc(-c2nc3cc4c(cc3c(=O)o2)OCCCO4)c(OC)c1;63;
ligand_64;-7.914;../data/docking/results\ligand_64_out.pdbqt;../data/docking/results\ligand_64_log.txt;True;Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1ccccn1;64;
ligand_65;-8.097;../data/docking/results\ligand_65_out.pdbqt;../data/docking/results\ligand_65_log.txt;True;Cc1nc(N)ccc1CNC(=O)Cn1c(C2CC2)ccc(NS(=O)(=O)Cc2ccc(Cl)cc2)c1=O;65;
ligand_66;-7.892;../data/docking/results\ligand_66_out.pdbqt;../data/docking/results\ligand_66_log.txt;True;CCC(CC)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N1CCC[C@@H]1C(=O)O;66;
ligand_69;-7.751;../data/docking/results\ligand_69_out.pdbqt;../data/docking/results\ligand_69_log.txt;True;N=C(N)N1CCC(OCCC2CCCCN2C(=O)[C@H](CC(=O)O)NCC2CCCCC2)CC1;69;
Derivat_Cl;-6.452;../data/docking/results\Derivat_Cl_out.pdbqt;../data/docking/results\Derivat_Cl_log.txt;True;ClC1=CC=C(/C=C/C(OCC2=CC=C(Cl)C=C2)=O)C=C1;-1;
Derivat_NO2;-7.749;../data/docking/results\Derivat_NO2_out.pdbqt;../data/docking/results\Derivat_NO2_log.txt;True;ClC1=CC=C(/C=C/C(OCC2=CC=C([N+]([O-])=O)C=C2)=O)C=C1;-1;
