ligand_name;best_affinity_kcal_mol;output_pdbqt;log_file;success;Smiles;original_index;error;docking_pseudo_pKi;pKi;pKi_predicted
ligand_38;-7.39;../data/docking/results\ligand_38_out.pdbqt;../data/docking/results\ligand_38_log.txt;True;CC(C)C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)N(C)Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1;38;;5.420191346546226;9.15;9.11449999999999
ligand_40;-7.771;../data/docking/results\ligand_40_out.pdbqt;../data/docking/results\ligand_40_log.txt;True;N=C(N)c1ccc(OCC[C@H]2CCCCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1;40;;5.699635582410112;5.14;6.205635589261619
ligand_42;-8.344;../data/docking/results\ligand_42_out.pdbqt;../data/docking/results\ligand_42_log.txt;True;Nc1cc[n+](Cc2ccc(OC(c3ccccc3)c3ccccc3)cc2)cc1;42;;6.119902110362884;3.2865094569060576;5.113694602865482
ligand_43;-8.652;../data/docking/results\ligand_43_out.pdbqt;../data/docking/results\ligand_43_log.txt;True;Cn1c(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2=O)cc2cnccc21;43;;6.345804537255472;5.537602002101044;5.375949101632075
ligand_44;-7.942;../data/docking/results\ligand_44_out.pdbqt;../data/docking/results\ligand_44_log.txt;True;N[C@@H](C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1OCC(=O)NC1CC1)C1CCCCC1;44;;5.825055436301777;4.75;5.151762389894528
ligand_48;-6.491;../data/docking/results\ligand_48_out.pdbqt;../data/docking/results\ligand_48_log.txt;True;NCc1ccc(C(=O)Nc2ccccc2)cc1;48;;4.760820301817531;0.6990000000071107;0.9221382732839152
ligand_49;-9.016;../data/docking/results\ligand_49_out.pdbqt;../data/docking/results\ligand_49_log.txt;True;Cc1nc(N)ccc1CNC(=O)Cn1c(C)cc2c(c1=O)NC(=O)[C@H](Cc1ccccc1)C2;49;;6.612780132673988;4.9;5.423448573794231
ligand_51;-9.679;../data/docking/results\ligand_51_out.pdbqt;../data/docking/results\ligand_51_log.txt;True;N=C(N)c1cccc(C(=O)N[C@@H](C(=O)N2CCN(C(=O)c3ccccc3)CC2)c2ccccc2)c1;51;;7.099057110043427;6.34;5.705751609516709
ligand_52;-8.592;../data/docking/results\ligand_52_out.pdbqt;../data/docking/results\ligand_52_log.txt;True;CNC(=O)C(=O)C(NC(=O)[C@@H]1CC[C@H]2CN(S(=O)(=O)Cc3ccccc3)CC(=O)N21)[C@H]1CC[C@H](N)CC1;52;;6.301797570977697;5.62;6.048168776488686
ligand_53;-7.38;../data/docking/results\ligand_53_out.pdbqt;../data/docking/results\ligand_53_log.txt;True;N=C(N)c1ccc2[nH]c(-c3ccccc3)nc2c1;53;;5.4128568521665965;4.26;5.160102435641795
ligand_54;-7.511;../data/docking/results\ligand_54_out.pdbqt;../data/docking/results\ligand_54_log.txt;True;N=C(N)c1ccc(OC(=O)c2ccc(CCC(=O)N(CCC(=O)O)CC(=O)O)o2)cc1;54;;5.508938728539744;8.89;8.863141666666671
ligand_55;-8.577;../data/docking/results\ligand_55_out.pdbqt;../data/docking/results\ligand_55_log.txt;True;Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccc(Cl)cc2)c1=O;55;;6.290795829408252;5.58;5.395325767711473
ligand_56;-8.532;../data/docking/results\ligand_56_out.pdbqt;../data/docking/results\ligand_56_log.txt;True;COc1cc(CNc2ccc(C(=N)N)cc2)ccc1OCc1ccccc1;56;;6.257790604699919;6.24;6.067919942401407
ligand_58;-7.813;../data/docking/results\ligand_58_out.pdbqt;../data/docking/results\ligand_58_log.txt;True;CCC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)O;58;;5.730440458804556;8.78;8.753663333333328
ligand_59;-8.828;../data/docking/results\ligand_59_out.pdbqt;../data/docking/results\ligand_59_log.txt;True;CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@H]1CC=CC[C@H]1C(=O)O;59;;6.474891638336953;8.7;8.801499999999999
ligand_60;-9.225;../data/docking/results\ligand_60_out.pdbqt;../data/docking/results\ligand_60_log.txt;True;COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2ccc(C(N)=O)cc2)cc1;60;;6.766071065208246;7.38;6.3925895667645225
ligand_61;-8.992;../data/docking/results\ligand_61_out.pdbqt;../data/docking/results\ligand_61_log.txt;True;COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cccc(C(N)=O)c2)cc1;61;;6.595177346162878;7.05;6.64718406385681
ligand_62;-7.915;../data/docking/results\ligand_62_out.pdbqt;../data/docking/results\ligand_62_log.txt;True;NCc1ccc(CNC(=O)CC(=O)NCc2ccc(CNC(=O)CC(=O)NCc3ccc(CN)cc3)cc2)cc1;62;;5.805252301476777;3.4989407377822483;2.357686879119123
ligand_63;-6.455;../data/docking/results\ligand_63_out.pdbqt;../data/docking/results\ligand_63_log.txt;True;COc1ccc(-c2nc3cc4c(cc3c(=O)o2)OCCCO4)c(OC)c1;63;;4.734416122050865;5.0;5.237051003830377
ligand_64;-7.914;../data/docking/results\ligand_64_out.pdbqt;../data/docking/results\ligand_64_log.txt;True;Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1ccccn1;64;;5.804518852038814;3.0;4.164083702399108
ligand_65;-8.097;../data/docking/results\ligand_65_out.pdbqt;../data/docking/results\ligand_65_log.txt;True;Cc1nc(N)ccc1CNC(=O)Cn1c(C2CC2)ccc(NS(=O)(=O)Cc2ccc(Cl)cc2)c1=O;65;;5.938740099186034;5.72;5.065311551693912
ligand_66;-7.892;../data/docking/results\ligand_66_out.pdbqt;../data/docking/results\ligand_66_log.txt;True;CCC(CC)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N1CCC[C@@H]1C(=O)O;66;;5.788382964403629;8.45;8.330466666666675
ligand_69;-7.751;../data/docking/results\ligand_69_out.pdbqt;../data/docking/results\ligand_69_log.txt;True;N=C(N)N1CCC(OCCC2CCCCN2C(=O)[C@H](CC(=O)O)NCC2CCCCC2)CC1;69;;5.684966593650852;5.8;5.881159702119521
Derivat_Cl;-6.452;../data/docking/results\Derivat_Cl_out.pdbqt;../data/docking/results\Derivat_Cl_log.txt;True;ClC1=CC=C(/C=C/C(OCC2=CC=C(Cl)C=C2)=O)C=C1;-1;;4.732215773736976;;
Derivat_NO2;-7.749;../data/docking/results\Derivat_NO2_out.pdbqt;../data/docking/results\Derivat_NO2_log.txt;True;ClC1=CC=C(/C=C/C(OCC2=CC=C([N+]([O-])=O)C=C2)=O)C=C1;-1;;5.683499694774927;;
